"municipio";"low_cost";"rotulo";"mean(precio_gasoleo_a, na.rm = TRUE)";"mean(precio_gasolina_95_e5_premium, na.rm = TRUE)";"max(precio_gasoleo_a, na.rm = TRUE)";"max(precio_gasolina_95_e5_premium, na.rm = TRUE)";"min(precio_gasoleo_a, na.rm = TRUE)";"min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Peñas de San Pedro";TRUE;"VALERO 24H ENERGIA";1.349;NA;1.349;-Inf;1.349;Inf
"Peñíscola";FALSE;"REPSOL";1.375;NA;1.375;-Inf;1.375;Inf
"Peñíscola";TRUE;"VCC PEÑISCOLA";1.1985;NA;1.203;-Inf;1.194;Inf
"Peñíscola";TRUE;"BONAREA";1.1985;NA;1.203;-Inf;1.194;Inf
"Pepino";FALSE;"REPSOL";1.419;NA;1.419;-Inf;1.419;Inf
"Pepino";TRUE;"AVIA";1.409;NA;1.409;-Inf;1.409;Inf
"Pera (La)";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
"Perafort";FALSE;"REPSOL";1.399;NA;1.399;-Inf;1.399;Inf
"Perafort";FALSE;"BP";1.399;NA;1.399;-Inf;1.399;Inf
"Peral (El)";TRUE;"NUESTRA SEÑOA DEL ESPINO S. COOP DE C-LM";1.2;NA;1.2;-Inf;1.2;Inf
"Peraleda de la Mata";FALSE;"GALP";1.41233333333333;NA;1.429;-Inf;1.389;Inf
"Peraleda de la Mata";FALSE;"REPSOL";1.41233333333333;NA;1.429;-Inf;1.389;Inf
"Peraleda de la Mata";FALSE;"GALP";1.41233333333333;NA;1.429;-Inf;1.389;Inf
"Perales de Tajuña";FALSE;"REPSOL";1.432;1.608;1.439;1.608;1.425;1.608
"Perales de Tajuña";FALSE;"CEPSA";1.432;1.608;1.439;1.608;1.425;1.608
"Perales de Tajuña";FALSE;"REPSOL";1.432;1.608;1.439;1.608;1.425;1.608
"Perales de Tajuña";FALSE;"GALP";1.432;1.608;1.439;1.608;1.425;1.608
"Perales de Tajuña";TRUE;"BP A3 PERALES DE TAJUNA";1.419;NA;1.419;-Inf;1.419;Inf
"Perales del Alfambra";FALSE;"GALP";1.339;NA;1.339;-Inf;1.339;Inf
"Perales del Alfambra";TRUE;"CEREALES TERUEL";1.239;NA;1.239;-Inf;1.239;Inf
"Perales del Alfambra";TRUE;"GASOLEOS TERUEL";1.239;NA;1.239;-Inf;1.239;Inf
"Perales del Puerto";TRUE;"IBERDOEX";1.339;NA;1.339;-Inf;1.339;Inf
"Peralta";TRUE;"EROSKI";1.313;NA;1.343;-Inf;1.283;Inf
"Peralta";TRUE;"A.N. ENERGETICOS, S.L";1.313;NA;1.343;-Inf;1.283;Inf
"Peraltilla";FALSE;"REPSOL";1.379;NA;1.379;-Inf;1.379;Inf
