"rotulo";"direccion";"localidad";"municipio";"id_provincia";"ideess"
"HEMEGAS";"CALLE LAVANDERA, 2";"OLVERA";"Olvera";"11";14248
"BP PUERTO STA. MARIA";"CR N-IV, KM.  649.8";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";5792
"BP LAS SALINAS";"CALLE ALBERT EINSTEIN, 16";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";13567
"GM OIL";"CARRER EL PALMAR, 11";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";14753
"BALLENOIL";"CARRETERA N-IV KM. 653,2";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";6439
"SP";"CARRETERA CR CA-603 KM. 4,2";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";8007
"CARREFOUR";"CARRETERA MADRID CADIZ KM. 653";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";5578
"ARANCIA";"CA 602 PK 2,05 (CARRETERA km 2.05)";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";9260
"E.S. LA LONJA";"CARRETERA NACIONAL IV, MUELLE PESQUERO KM. 654";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";8021
"CLC CALIDAD LOW COST";"CALLE ALFRED NOBEL, 9";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";13605
"PETROPRIX";"CALLE RIO GUADARRANQUE, 1";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";14438
"Q8EASY";"CALLE EL PALMAR, 3";"PUERTO DE SANTA MARIA (EL)";"Puerto de Santa María (El)";"11";14299
"PETROPRIX";"CALLE ALBERT EINSTEIN, 17";"ARENALES (LOS)";"Puerto de Santa María (El)";"11";14439
"ASC CARBURANTES";"CALLE ALBERT EINSTEIN, 12";"ARENALES (LOS)";"Puerto de Santa María (El)";"11";14242
"B.P.";"CTRA. PUERTO REAL A MEDINA, km 3";"PUERTO REAL";"Puerto Real";"11";8017
"PETROL & GO (TRES CAMINOS)";"AVENIDA MOJARRA, 16";"PUERTO REAL";"Puerto Real";"11";13511
"BP ROTA";"AVENIDA CENTENARIO DE LA AVIACIÓN, 1";"ROTA";"Rota";"11";13916
"LAS MARISMAS DE ROTA (L.M.R.)";"CARRETERA A-491 KM. 11,200";"ROTA";"Rota";"11";9680
"REPSOL";"AVENIDA LIBERTAD, S/N";"ROTA";"Rota";"11";6842
"BALLENOIL";"AVENIDA LIBERTAD, 26";"ROTA";"Rota";"11";13533
"ECONOIL";"URBANIZACIÓN LA BALLENA, S/N";"COSTA BALLENA";"Rota";"11";13931
"PETROPRIX S. FERNANDO";"CALLE MECANICOS, 10";"SAN FERNANDO";"San Fernando";"11";13108
"CARREFOUR";"CALLE FERROCARRIL 39 B, 39";"SAN FERNANDO";"San Fernando";"11";14910
"BP SAN FERNANDO";"AVENIDA PERI JUNQUERA S/N, SN";"SAN FERNANDO";"San Fernando";"11";5668
"CEPSA";"AVDA. PUENTE ZUAZO, S/N (N-IVA km 677)";"SAN FERNANDO";"San Fernando";"11";5688
"BALLENOIL";"CALLE FERROCARRIL, 1";"SAN FERNANDO";"San Fernando";"11";14481
"BALLENOIL";"CALLE REMACHADORES, 2";"SAN FERNANDO";"San Fernando";"11";12868
"CODES";"AUTOVIA POL.IND.GUADARRANQUE PARC.9A (N-340 AUTOVIA A-7 (E-15) CADIZ-MADRID SALIDA116 KM.";"SAN ROQUE";"San Roque";"11";9407
"SHELL";"CR N-340 CADIZ-MALAGA KM (AUTOVIA km 124)";"SAN ROQUE";"San Roque";"11";6836
"REPSOL";"AUTOVIA A-7 KM. 116,000";"SAN ROQUE";"San Roque";"11";6674
"BFUEL CAMPAMENTO";"AVENIDA HUELVA (PI), 9";"CAMPAMENTO";"San Roque";"11";14677
"PETROPRIX";"CALLE REAL, 56";"CAMPAMENTO";"San Roque";"11";14938
"CEPSA";"N-340 km 134";"SAN ENRIQUE";"San Roque";"11";5698
